entry_id,employee_id,project_id,work_date,hours_logged,billable
1,EMP003,PRJ001,2026-04-07,4.6,True
2,EMP003,PRJ001,2026-04-08,3.6,True
3,EMP003,PRJ001,2026-04-09,4.9,True
4,EMP003,PRJ001,2026-04-10,6.3,True
5,EMP003,PRJ001,2026-04-13,3.4,True
6,EMP003,PRJ001,2026-04-14,3.4,True
7,EMP003,PRJ001,2026-04-15,6.4,True
8,EMP003,PRJ001,2026-04-16,5.1,True
9,EMP003,PRJ001,2026-04-17,3.0,False
10,EMP003,PRJ001,2026-04-20,4.7,True
11,EMP003,PRJ001,2026-04-21,3.1,True
12,EMP003,PRJ001,2026-04-22,3.0,False
13,EMP003,PRJ001,2026-04-24,4.2,True
14,EMP003,PRJ001,2026-04-27,0.7,True
15,EMP003,PRJ001,2026-04-28,1.0,True
16,EMP003,PRJ001,2026-04-30,2.9,False
17,EMP003,PRJ001,2026-05-01,2.2,True
18,EMP003,PRJ001,2026-05-04,4.3,False
19,EMP003,PRJ001,2026-05-05,2.3,True
20,EMP003,PRJ001,2026-05-06,1.5,True
21,EMP003,PRJ001,2026-05-07,6.2,True
22,EMP003,PRJ001,2026-05-08,3.4,False
23,EMP003,PRJ001,2026-05-11,3.9,True
24,EMP003,PRJ001,2026-05-12,1.5,True
25,EMP003,PRJ001,2026-05-13,2.9,False
26,EMP003,PRJ001,2026-05-14,4.0,True
27,EMP003,PRJ001,2026-05-15,1.9,True
28,EMP003,PRJ001,2026-05-18,4.4,True
29,EMP003,PRJ001,2026-05-19,2.8,True
30,EMP003,PRJ001,2026-05-20,3.3,True
31,EMP003,PRJ001,2026-05-21,2.8,False
32,EMP003,PRJ001,2026-05-25,6.8,True
33,EMP003,PRJ001,2026-05-26,3.8,False
34,EMP003,PRJ001,2026-05-27,2.1,True
35,EMP003,PRJ001,2026-05-28,5.2,False
36,EMP003,PRJ001,2026-06-01,1.8,True
37,EMP003,PRJ001,2026-06-02,4.2,True
38,EMP003,PRJ001,2026-06-03,0.6,True
39,EMP003,PRJ001,2026-06-04,1.6,True
40,EMP003,PRJ001,2026-06-05,4.1,True
41,EMP003,PRJ001,2026-06-08,5.0,True
42,EMP003,PRJ001,2026-06-09,-4.0,True
43,EMP003,PRJ001,2026-06-10,3.6,True
44,EMP003,PRJ001,2026-06-11,-4.0,True
45,EMP003,PRJ001,2026-06-12,1.4,True
46,EMP003,PRJ001,2026-06-16,2.6,True
47,EMP003,PRJ001,2026-06-18,3.1,False
48,EMP003,PRJ001,2026-06-22,5.5,True
49,EMP003,PRJ001,2026-06-23,4.4,True
50,EMP003,PRJ001,2026-06-24,0.9,True
51,EMP003,PRJ001,2026-06-25,4.3,True
52,EMP003,PRJ001,2026-06-26,3.2,True
53,EMP003,PRJ001,2026-06-29,2.7,True
54,EMP003,PRJ001,2026-06-30,4.8,True
55,EMP003,PRJ001,2026-07-01,5.5,True
56,EMP003,PRJ001,2026-07-03,5.3,True
57,EMP003,PRJ001,2026-07-06,2.4,True
58,EMP003,PRJ001,2026-07-07,3.3,True
59,EMP003,PRJ001,2026-07-08,4.4,True
60,EMP003,PRJ001,2026-07-09,5.4,True
61,EMP003,PRJ001,2026-07-10,3.0,True
62,EMP003,PRJ001,2026-07-13,3.5,True
63,EMP003,PRJ001,2026-07-14,2.0,True
64,EMP003,PRJ001,2026-07-15,1.9,True
65,EMP003,PRJ001,2026-07-16,5.1,True
66,EMP003,PRJ001,2026-07-17,6.0,True
67,EMP003,PRJ001,2026-07-20,3.7,True
68,EMP003,PRJ001,2026-07-21,5.4,True
69,EMP003,PRJ001,2026-07-22,4.4,False
70,EMP003,PRJ001,2026-07-23,2.8,True
71,EMP003,PRJ001,2026-07-24,4.4,True
72,EMP003,PRJ001,2026-07-27,6.3,True
73,EMP003,PRJ001,2026-07-28,3.8,True
74,EMP003,PRJ001,2026-07-29,6.4,True
75,EMP003,PRJ001,2026-07-30,0.5,True
76,EMP003,PRJ001,2026-07-31,5.2,True
77,EMP003,PRJ001,2026-08-03,4.0,True
78,EMP003,PRJ001,2026-08-04,3.3,True
79,EMP003,PRJ001,2026-08-05,4.0,True
80,EMP003,PRJ001,2026-08-06,0.6,True
81,EMP003,PRJ001,2026-08-07,3.5,True
82,EMP003,PRJ001,2026-08-10,4.4,True
83,EMP003,PRJ001,2026-08-11,6.2,True
84,EMP003,PRJ001,2026-08-12,3.0,False
